Tabular Comparison:
Repo Key                                                         Source repoType Target repoType Source filesCount Target filesCount Used Space (Source)  Used Space (Target)  SpaceInBytes Difference   Remaining Transfer %
========================================================================================================================================================================================================
GCTM_CURRENCY_TEMPLATE-generic-releases                          LOCAL           LOCAL           3687            3687            121.12 GB            121.12 GB            0                         0.00                
GCTM_CURRENCY_TEMPLATE-generic-snapshots                         LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
GCTM_CURRENCY_TEMPLATE-gitlfs-public                             LOCAL           LOCAL           2               2               1.97 MB              1.97 MB              0                         0.00                
GCTM_CURRENCY_TEMPLATE-gitlfs-releases                           LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
GCTM_CURRENCY_TEMPLATE-gitlfs-snapshots                          LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
MEA_TEST_Templates-generic-public                                LOCAL           LOCAL           4166            4166            1.99 GB              1.99 GB              0                         0.00                
MEA_TEST_Templates-generic-releases                              LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
MEA_TEST_Templates-generic-snapshots                             LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
MEA_Templates-generic-public                                     LOCAL           LOCAL           976             976             1.30 GB              1.30 GB              0                         0.00                
MEA_Templates-generic-releases                                   LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
MEA_Templates-generic-snapshots                                  LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
Solidcore-gitlfs-public                                          LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
Solidcore-gitlfs-releases                                        LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
Solidcore-gitlfs-snapshots                                       LOCAL           LOCAL           110             110             4.77 GB              4.77 GB              0                         0.00                
TCS_ATMf_Admin-nuget-public                                      LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
TCS_ATMf_Admin-nuget-releases                                    LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
TCS_ATMf_Admin-nuget-snapshots                                   LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
TCS_ATMf_Credential_Provider-nuget-public                        LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
TCS_ATMf_Credential_Provider-nuget-releases                      LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
TCS_ATMf_Credential_Provider-nuget-snapshots                     LOCAL           LOCAL           0               0               0 bytes              0 bytes              0                         0.00                
